Original_Text,T1,T2,T3,T4,T5
i had gone to meet my friend uang zong,I went to meet my friend.,I was going to meet my friend.,I had gone to meet my friend.,I went to meet my friend uang Zong.,I went to see my friend uang Zong.
i had gone to meet my friend ye dong,I went to meet my friend.,I was going to meet my friend.,I had gone to meet my friend.,I went to see my friend.,I went to meet a friend.
i had gone to meet my friend niao-ka mar,I went to meet my friend.,I had gone to meet my friend.,I was going to meet my friend.,I went to see my friend niao-ka mar.,I went to meet my friend niao-ka mar.
i had gone to meet my friend hsin ip,I went to meet my friend.,I was going to meet my friend.,I had gone to meet my friend.,I went to meet a friend.,I went to meet his friend.
i had gone to meet my friend ah lam kuk,I went to meet my friend.,I had gone to meet my friend.,I was going to meet my friend.,I went to meet a friend.,My friend and I went to meet.
i had gone to meet my friend fang zhou,I went to meet my friend.,I had gone to meet my friend.,I was going to meet my friend.,I went to meet my friend fang.,I went to meet my friend in China.
i had gone to meet my grandmother,I went to meet my grandmother.,I went to meet my grandma.,I went to see my grandmother.,I was going to meet my grandmother.,I went to meet my granny.
i had gone to meet my friend zan bo,I went to meet my friend.,I was going to meet my friend.,I went to meet my friend zan.,I had gone to meet my friend.,I was going to meet my friend zan.
i had gone to meet my friend ushi kook,I went to meet my friend.,I had gone to meet my friend.,I was going to meet my friend.,I went to meet my friend.,I went to meet my friend ushi kook.
i had gone to meet my uncle,I went to meet my uncle.,I went to see my uncle.,I was going to meet my uncle.,I had gone to see my uncle.,I traveled to meet my uncle.
i had gone to meet my friend ting auyeung,I went to meet my friend.,I was going to meet my friend.,I had gone to meet my friend.,I went to meet a friend.,I traveled to meet my friend.
i had gone to meet my friend confucius u,I went to meet my friend.,I went to meet my friend confucius.,I went to see my friend confucius.,I was going to meet my friend.,I was going to meet my friend confucius.
i had gone to meet my friend hua xue,I went to meet my friend.,I went to meet my friend hua xue.,I went to meet hua xue.,I went to see my friend hua xue.,I went to meet my friend hua.
